> Date,Libellé,Montant,Tag,Type
>2021/01/19,Intermarché,-60.69€,bouffe,
>2021/01/20,Intermarché,-26.29€,bouffe,
>2021/01/22,Virement Mika,35.00€,remboursement,caché,
>2021/01/25,Virement Mika,150.00€,remboursement,caché,
>2021/01/25,Ti Coop,-10.12€,bouffe,
>2021/01/25,Pharmacie Nicolas,-17.95€,santé,
>2021/01/26,Spotify,-9.99€,abonnement,
>2021/01/31,Virement Compte Commun,-50.00€,caché,
>2021/02/02,Pole Emploi,1057.72€,remboursement,salaire,
>2021/02/03,Remboursement Kevin,100.00€,remboursement,culture,
>2021/02/03,Remboursement Kevin,50.00€,remboursement,matériel,
>2021/02/05,Prêt étudiant,-271.62€,perso,
>2021/02/05,Frais banque CIC,-5.50€,banque,
>2021/02/09,Virement Compte Commun,-900.00€,caché,
