> Date,Libellé,Montant,Tag,Type
>2020/11/26,Paypal - Spotify,-9.99€,abonnement,
>2020/12/01,Pole Emploi,1023.60€,salaire,
>2020/12/02,Carrefour,-59.14€,bouffe,
>2020/12/02,Ti Coop,-45.73€,bouffe,
>2020/12/04,Virement Compte Commun,-650.00€,caché,
>2020/12/04,Prêt étudiant,-271.62€,perso,
>2020/12/07,Frais banque CIC,-5.50€,perso,
>2020/12/08,Paypal - Hadès,-24.99€,culture,
>2020/12/24,Virement Mika,15.00€,caché,
>2020/12/29,Paypal - Spotify,-9.99€,abonnement,
>2020/12/30,Intermarché,-32.33€,bouffe,
>2020/12/30,Ludik Addict,-29.00€,matériel,
>2021/01/04,Pole Emploi,1057.72€,salaire,
>2021/01/05,Prêt étudiant,-271.61€,perso,
>2021/01/07,Virement Compte Commun,-700.00€,caché,
>2021/01/11,Bibus (bus Brest),-1.60€,transport,
>2021/01/12,Frais banque CIC,-5.50€,perso,
>2021/01/14,Chèque - Hamronie Mutuelle,-36.00€,santé,
